SeqNO.	Comp.Result	Di-pep.Result	part-Comp.Result	chemo-type.Result	Neighbor	#Combined:	extra	outer	peri	inner	cyto	#Most-likely-Location	#SeqName
#132	Periplasmic	Extracellular	Extracellular	Periplasmic	Extracellular	:	2.853756	0.24444769	1.3861399	0.24812279	0.267532857	Extracellular	EnrD2m_bin_31___c_000000000405_28
#133	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.3563401	0.07622068	4.274695	0.07228511	0.220459865	Periplasmic	EnrD2m_bin_31___c_000000000405_29
#134	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.30545587	0.084944497	4.186153	0.075122528	0.3483244	Periplasmic	EnrD2m_bin_31___c_000000000496_2
#135	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.09618354	0.13653693	2.3126198	0.6188165	1.8358442	Periplasmic	EnrD2m_bin_31___c_000000000829_22
#136	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.18449423	0.049220013	4.555498	0.08655105	0.12423671	Periplasmic	EnrD2m_bin_31___c_000000003566_5
#137	Periplasmic	Extracellular	Periplasmic	Extracellular	Periplasmic	:	2.49634	0.30474614	1.7591752	0.188281006	0.251457437	Extracellular	EnrD2m_bin_31___c_000000003566_6
#138	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	2.976568	0.64653946	0.8091117	0.46461106	0.103169643	Extracellular	EnrD2m_bin_31___c_000000003566_7
#139	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.551495	0.65909884	0.2472223	0.438861767	0.103323298	Extracellular	EnrD2m_bin_31___c_000000003566_9
#140	Extracellular	Extracellular	Extracellular	InnerMembrane	Extracellular	:	3.440308	0.64784326	0.2161705	0.566001782	0.129676627	Extracellular	EnrD2m_bin_31___c_000000003840_7
#141	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	1.1472301	0.5554696	2.853507	0.20639186	0.2374018	Periplasmic	EnrD2m_bin_31___c_000000003840_8
#142	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.13355586	0.032327687	4.607543	0.09253005	0.13404377	Periplasmic	EnrD2m_bin_31___c_000000003840_9
#143	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.04262305	0.077333276	2.978781	0.02214905	1.879114	Periplasmic	EnrD2m_bin_31___c_000000005997_4
#144	Cytoplasmic	Extracellular	Periplasmic	Periplasmic	Periplasmic	:	1.718265	0.80496764	1.667282	0.09032271	0.7191627	Extracellular	2582580685___TH4436DRAFT_TBhypo_metabat_4436_10000068.9_42
#145	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.7445779	0.25822217	3.193174	0.23999286	0.5640336	Periplasmic	2582580685___TH4436DRAFT_TBhypo_metabat_4436_10000758.96_5
#146	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.1823937	0.44004516	2.33447	1.13370616	0.9093855	Periplasmic	2593339180___TH02270DRAFT_TH02270_TBL_comb47_HYPODRAFT_10000084.1_16
#147	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	InnerMembrane	:	0.2074093	0.13899013	1.0851677	2.1284466	1.4399864	InnerMembrane	2593339180___TH02270DRAFT_TH02270_TBL_comb47_HYPODRAFT_10000770.16_14
#148	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.2735619	0.072208025	4.180498	0.079904104	0.39382711	Periplasmic	2593339180___TH02270DRAFT_TH02270_TBL_comb47_HYPODRAFT_10001019.22_4
#149	Periplasmic	OuterMembrane	Periplasmic	InnerMembrane	Periplasmic	:	0.12893832	0.78111672	2.6521647	0.57505088	0.8627296	Periplasmic	2593339180___TH02270DRAFT_TH02270_TBL_comb47_HYPODRAFT_10001791.39_5
#150	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.6200043	0.0745587	3.780839	0.13947784	0.3851205	Periplasmic	2582580699___TH5737DRAFT_TBhypo_metabat_5737_10008422.2_3
#151	Periplasmic	OuterMembrane	Periplasmic	OuterMembrane	Periplasmic	:	0.2990769	1.0628782	2.150286	0.22562699	1.262133	Periplasmic	2582580651___TH111DRAFT_TBhypo_metabat_111_10000043.4_11
#152	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.3255749	0.108556379	3.741562	0.36177141	0.46253547	Periplasmic	2582580651___TH111DRAFT_TBhypo_metabat_111_10000055.9_69
#153	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.3350005	0.105911267	3.734852	0.35225431	0.47198277	Periplasmic	2582580622___TE211DRAFT_TBepi_metabat_211_1000028.60_35
#154	Periplasmic	OuterMembrane	Periplasmic	OuterMembrane	Periplasmic	:	0.2990769	1.0628782	2.150286	0.22562699	1.262133	Periplasmic	2582580622___TE211DRAFT_TBepi_metabat_211_1000009.68_12
#155	Periplasmic	Periplasmic	Extracellular	Extracellular	Periplasmic	:	1.2623188	0.17742115	2.617232	0.3029795	0.6400483	Periplasmic	EnrBtr_bin_1___c_000000000002_310
#156	Cytoplasmic	Periplasmic	Cytoplasmic	InnerMembrane	Periplasmic	:	0.2177345	0.12304083	1.692444	1.034205	1.932576	Cytoplasmic	EnrBtr_bin_1___c_000000000002_312
#157	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.1600541	0.26212376	3.794181	0.431948678	0.3516917	Periplasmic	EnrBtr_bin_1___c_000000000002_332
#158	Extracellular	Extracellular	Extracellular	Extracellular	Extracellular	:	3.872528	0.7313067	0.2877732	0.066639322	0.041752196	Extracellular	EnrBtr_bin_1___c_000000000003_494
#159	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.21594296	0.1162773639	4.236841	0.109006428	0.32193391	Periplasmic	EnrBtr_bin_1___c_000000000003_496
#160	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.20186845	0.563501819	3.989785	0.05882586	0.18601975	Periplasmic	EnrBtr_bin_1___c_000000000003_552
#161	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.8491343	0.63257192	3.027441	0.08039729	0.4104542	Periplasmic	EnrBtr_bin_1___c_000000000003_693
#162	Periplasmic	Periplasmic	Extracellular	OuterMembrane	Periplasmic	:	1.255874	1.0626076	2.038915	0.36190357	0.2806991	Periplasmic	EnrBtr_bin_1___c_000000000010_23
#163	Periplasmic	Periplasmic	InnerMembrane	InnerMembrane	Periplasmic	:	0.1173768	0.09345759	2.242875	1.4505584	1.0957317	Periplasmic	EnrBtr_bin_1___c_000000000013_124
#164	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	1.030407	0.227574974	3.463746	0.071537454	0.20673509	Periplasmic	EnrBtr_bin_1___c_000000000013_128
#165	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	:	0.1672892	0.215585047	3.251937	0.17635617	1.18883139	Periplasmic	EnrBtr_bin_1___c_000000000147_23
#166	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	1.0239821	0.16259925	3.453664	0.129446074	0.23030914	Periplasmic	2582580677___TH3552DRAFT_TBhypo_metabat_3552_10001193.2_34
#167	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.6839405	0.17906232	3.662766	0.31531512	0.15891464	Periplasmic	2582580640___TE5144DRAFT_TBepi_metabat_5144_1001291.103_6
#168	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.7100927	0.50690169	3.501272	0.07797476	0.2037589	Periplasmic	2582580688___TH4590DRAFT_TBhypo_metabat_4590_10005096.156_2
#169	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	InnerMembrane	:	0.1686161	0.17326465	0.9649854	2.1312364	1.5618966	InnerMembrane	2582580688___TH4590DRAFT_TBhypo_metabat_4590_10002617.211_1
#170	Periplasmic	Periplasmic	Cytoplasmic	InnerMembrane	Periplasmic	:	0.2142346	0.24465104	2.2229191	0.93685963	1.381338	Periplasmic	2582580688___TH4590DRAFT_TBhypo_metabat_4590_10002617.211_2
#171	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.173408102	0.094456823	4.202622	0.29404061	0.23547279	Periplasmic	2582580688___TH4590DRAFT_TBhypo_metabat_4590_10002617.211_3
#172	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.3408507	0.037993653	3.94925	0.13210718	0.53979785	Periplasmic	2582580688___TH4590DRAFT_TBhypo_metabat_4590_10028545.255_1
#173	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.4194692	0.076917861	4.133733	0.0885234	0.2813576	Periplasmic	2582580688___TH4590DRAFT_TBhypo_metabat_4590_10023205.300_2
#174	Periplasmic	OuterMembrane	Periplasmic	OuterMembrane	Periplasmic	:	0.959541	0.8593578	2.688709	0.351530545	0.14086269	Periplasmic	EnrHum_bin_14___c_000000007490_2
#175	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.4113131	0.18335594	3.052318	0.19186308	1.1611483	Periplasmic	EnrHum_bin_14___c_000000008743_4
#176	Extracellular	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	:	1.0355287	0.101503046	3.068209	0.0615456	0.7332129	Periplasmic	EnrHum_bin_14___c_000000014771_1
#177	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.4064688	0.96691903	3.2460437	0.038939313	0.34162791	Periplasmic	EnrD2m_bin_69___c_000000005481_6
#178	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.5757417	0.770343349	3.35067	0.10991899	0.19332517	Periplasmic	EnrD2m_bin_69___c_000000005481_8
#179	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.8345528	0.27488333	3.444399	0.086762731	0.35940111	Periplasmic	EnrD2m_bin_69___c_000000007616_3
#180	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.593189	0.85475503	0.29243545	0.192210105	0.067410492	Extracellular	EnrD2m_bin_69___c_000000007616_4
#181	Cytoplasmic	Periplasmic	Cytoplasmic	Periplasmic	Cytoplasmic	:	0.03735903	0.013255934	1.7822749	0.1799551	2.987155	Cytoplasmic	EnrD2m_bin_69___c_000000010707_4
#182	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.07799066	0.115456125	3.899483	0.5372895	0.36978091	Periplasmic	EnrD2m_bin_69___c_000000011981_5
#183	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.0932787	0.034631649	4.56333	0.10814203	0.2006181	Periplasmic	EnrD2m_bin_69___c_000000012193_2
#184	Extracellular	Extracellular	Extracellular	Periplasmic	Periplasmic	:	2.652548	0.2192568	1.997565	0.051744399	0.07888618	Extracellular	EnrD2m_bin_69___c_000000012193_5
#185	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.32969549	0.15399362	4.037861	0.232495807	0.24595484	Periplasmic	EnrD2m_bin_69___c_000000020053_3
#186	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	:	0.5738041	0.1334062	2.813562	0.10898164	1.3702467	Periplasmic	EnrD2m_bin_69___c_000000024750_3
#187	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.9482546	0.142457089	3.735445	0.041574883	0.13227141	Periplasmic	EnrHum_bin_23___c_000000003095_2
#188	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.8756554	0.9260937	2.567081	0.17530953	0.45586	Periplasmic	2582580694___TH5247DRAFT_TBhypo_metabat_5247_10001753.18_13
#189	Cytoplasmic	InnerMembrane	InnerMembrane	InnerMembrane	InnerMembrane	:	0.1268466	0.491157	0.817987	2.645576	0.9184331	InnerMembrane	2582580694___TH5247DRAFT_TBhypo_metabat_5247_10014176.49_3
#190	Extracellular	Extracellular	Extracellular	Extracellular	Extracellular	:	3.740338	0.33441207	0.9021935	0.008482727	0.014573076	Extracellular	2582580694___TH5247DRAFT_TBhypo_metabat_5247_10000112.113_62
#191	Cytoplasmic	Cytoplasmic	Cytoplasmic	Periplasmic	Cytoplasmic	:	0.3588729	0.3130935	0.9437451	0.2740506	3.1102382	Cytoplasmic	2582580694___TH5247DRAFT_TBhypo_metabat_5247_10000112.113_67
#192	Periplasmic	Extracellular	Periplasmic	OuterMembrane	Periplasmic	:	1.338857	0.739593882	2.350977	0.216473686	0.35409832	Periplasmic	EnrD2m_bin_17___c_000000001319_7
#193	Periplasmic	Extracellular	Extracellular	InnerMembrane	Extracellular	:	2.473987	0.74486299	0.5881684	0.78018136	0.41280072	Extracellular	EnrD2m_bin_17___c_000000001319_8
#194	Cytoplasmic	Cytoplasmic	InnerMembrane	Periplasmic	Periplasmic	:	0.10771511	0.056166415	2.152212	1.0471741	1.6367305	Periplasmic	EnrD2m_bin_17___c_000000001323_2
#195	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.2317202	0.31573082	4.012015	0.049940128	0.39059269	Periplasmic	EnrD2m_bin_17___c_000000001795_10
#196	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.8527953	0.153847736	3.578529	0.12054095	0.2942867	Periplasmic	EnrD2m_bin_17___c_000000008187_5
#197	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.6396256	0.10378269	3.840489	0.225505736	0.1905964	Periplasmic	EnrD2m_bin_17___c_000000009885_3
#198	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.4741479	0.065209928	4.018868	0.123808735	0.31796402	Periplasmic	EnrD2m_bin_17___c_000000009885_5
#199	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.19957081	0.127865572	4.439219	0.04545869	0.1878852	Periplasmic	EnrD2m_bin_17___c_000000012794_4
#200	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.7907943	0.145110787	3.862868	0.058903809	0.14232287	Periplasmic	EnrD2m_bin_17___c_000000018136_2
#201	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.7543741	0.6378051	3.082136	0.09903549	0.4266493	Periplasmic	EnrD2m_bin_20___c_000000007353_4
#202	Cytoplasmic	Cytoplasmic	Cytoplasmic	Extracellular	Cytoplasmic	:	0.6255636	0.36464837	0.7033482	0.8360473	2.4703926	Cytoplasmic	EnrD2m_bin_20___c_000000013685_2
#203	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	1.0773162	0.07537087	3.446625	0.09193356	0.3087541	Periplasmic	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10017010.139_2
#204	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.25076446	0.37109167	3.337054	0.6415881	0.3995026	Periplasmic	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10006571.149_7
#205	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.1742836	0.14746628	1.0838966	1.6557164	1.938638	Cytoplasmic	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10006571.149_9
#206	Cytoplasmic	Periplasmic	Cytoplasmic	Cytoplasmic	Periplasmic	:	0.1945825	0.13320752	2.028928	0.62100068	2.0222812	Periplasmic	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10006571.149_10
#207	Periplasmic	Cytoplasmic	Cytoplasmic	OuterMembrane	Cytoplasmic	:	0.4247658	0.481479772	1.894418	0.13434517	2.0649907	Cytoplasmic	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10003538.158_11
#208	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.866839	0.73474485	0.3022949	0.078229118	0.017892292	Extracellular	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10003538.158_12
#209	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	:	0.3552652	0.10089138	3.417853	0.286977	0.83901295	Periplasmic	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10002950.163_19
#210	Periplasmic	Periplasmic	Cytoplasmic	Cytoplasmic	Periplasmic	:	0.4159114	0.38369076	2.659005	0.058733783	1.4826595	Periplasmic	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10018242.271_4
#211	Periplasmic	Periplasmic	Cytoplasmic	OuterMembrane	Periplasmic	:	0.21994115	0.396364097	2.91139	0.14462493	1.3276808	Periplasmic	2582580665___TH2747DRAFT_TBhypo_metabat_2747_10009053.406_10
#212	Periplasmic	Periplasmic	Extracellular	Periplasmic	Periplasmic	:	0.8386982	0.13130917	3.407689	0.11032279	0.5119817	Periplasmic	2593339183___TH02922DRAFT_TH02922_TBL_comb47_HYPODRAFT_10000014.4_135
#213	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.10023081	0.060289444	4.670934	0.05923696	0.10930957	Periplasmic	2593339183___TH02922DRAFT_TH02922_TBL_comb47_HYPODRAFT_10000035.6_59
#214	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.09250572	0.043605131	4.803303	0.038170313	0.02241652	Periplasmic	2593339183___TH02922DRAFT_TH02922_TBL_comb47_HYPODRAFT_10000073.9_43
#215	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	:	0.16059982	0.2548596	2.750377	0.16629578	1.6678679	Periplasmic	2593339183___TH02922DRAFT_TH02922_TBL_comb47_HYPODRAFT_10000092.10_73
#216	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.5112553	0.1216072	3.267761	0.08091462	1.0184628	Periplasmic	2593339183___TH02922DRAFT_TH02922_TBL_comb47_HYPODRAFT_10000106.12_47
#217	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	4.077387	0.56273621	0.1491188	0.1618047002	0.04895351	Extracellular	2593339183___TH02922DRAFT_TH02922_TBL_comb47_HYPODRAFT_10000187.16_62
#218	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	:	0.04568651	0.220735528	3.627523	0.233755771	0.8722982	Periplasmic	EnrD2m_bin_50___c_000000002466_15
#219	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.614718	0.60691892	0.2433776	0.442588685	0.09239746	Extracellular	EnrD2m_bin_50___c_000000008055_2
#220	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	:	0.34252	0.0598859	2.816816	0.568071	1.2127084	Periplasmic	EnrD2m_bin_50___c_000000015836_2
#221	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.12072516	0.051456875	3.1870971	1.03625571	0.6044642	Periplasmic	EnrD2m_bin_50___c_000000019902_3
#222	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	:	0.1696038	0.099019487	3.102882	0.488104	1.1403916	Periplasmic	EnrD2m_bin_50___c_000000025084_2
#223	Periplasmic	Extracellular	Periplasmic	OuterMembrane	Periplasmic	:	1.077763	1.437208	1.810028	0.06949244	0.6055078	Periplasmic	EnrD2m_bin_23___c_000000004608_4
#224	Extracellular	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	1.902027	0.525216	2.239001	0.220094958	0.11366104	Periplasmic	EnrD2m_bin_23___c_000000009403_1
#225	Periplasmic	Periplasmic	Cytoplasmic	Cytoplasmic	Periplasmic	:	0.5420704	0.26154147	2.265368	0.16325782	1.7677648	Periplasmic	2582580697___TH5629DRAFT_TBhypo_metabat_5629_10002607.13_22
#226	Extracellular	Extracellular	Extracellular	Extracellular	Extracellular	:	4.044416	0.27294787	0.5100838	0.076616894	0.095934648	Extracellular	2582580697___TH5629DRAFT_TBhypo_metabat_5629_10007174.16_6
#227	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	1.593763	0.56502334	2.2782515	0.14710555	0.4158552	Periplasmic	2582580697___TH5629DRAFT_TBhypo_metabat_5629_10007174.16_7
#228	Extracellular	Extracellular	Extracellular	Extracellular	Extracellular	:	4.144246	0.6476146	0.17769791	0.019765297	0.010675787	Extracellular	2582580697___TH5629DRAFT_TBhypo_metabat_5629_10001498.19_31
#229	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.3904312	0.0821921	2.800855	0.350180124	1.3763411	Periplasmic	2582580697___TH5629DRAFT_TBhypo_metabat_5629_10000178.27_52
#230	Periplasmic	Extracellular	Periplasmic	OuterMembrane	Periplasmic	:	0.9309351	1.1303247	1.926892	0.38385079	0.6279963	Periplasmic	2582580697___TH5629DRAFT_TBhypo_metabat_5629_10000001.32_1
#231	Cytoplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Cytoplasmic	:	0.3423316	0.4541169	1.0859553	1.234034	1.8835626	Cytoplasmic	2582580697___TH5629DRAFT_TBhypo_metabat_5629_10000001.32_2
#232	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	4.042135	0.66393936	0.08322324	0.158905515	0.051796957	Extracellular	2582580697___TH5629DRAFT_TBhypo_metabat_5629_10000042.35_26
#233	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	1.5718174	0.096007819	2.9822447	0.0659934	0.28393683	Periplasmic	2582580668___TH3004DRAFT_TBhypo_metabat_3004_10000258.6_17
#234	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.278671	0.9281368	0.5234618	0.18429562	0.0854342	Extracellular	2582580668___TH3004DRAFT_TBhypo_metabat_3004_10000258.6_18
#235	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.7770933	0.09276118	3.815889	0.07115771	0.2430993	Periplasmic	2582580668___TH3004DRAFT_TBhypo_metabat_3004_10005700.64_3
#236	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.740246	0.76827964	0.1474265	0.275289881	0.0687564925	Extracellular	2582580668___TH3004DRAFT_TBhypo_metabat_3004_10001683.122_22
#237	Cytoplasmic	Periplasmic	Cytoplasmic	Cytoplasmic	Periplasmic	:	0.19860594	0.11546898	1.1265403	0.89386603	2.665518	Cytoplasmic	2582580668___TH3004DRAFT_TBhypo_metabat_3004_10001683.122_24
#238	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.2198398	0.084387354	4.393717	0.04115947	0.26089722	Periplasmic	2582580668___TH3004DRAFT_TBhypo_metabat_3004_10000395.139_25
#239	Periplasmic	InnerMembrane	Periplasmic	InnerMembrane	Periplasmic	:	0.1865809	0.48851999	2.536545	0.8139036	0.9744497	Periplasmic	2582580668___TH3004DRAFT_TBhypo_metabat_3004_10011850.172_6
#240	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.2054622	0.30509418	4.357112	0.071997076	0.060335402	Periplasmic	EnrHum_bin_20___c_000000000341_8
#241	Periplasmic	Periplasmic	Extracellular	OuterMembrane	Periplasmic	:	1.2858406	0.54218239	2.719811	0.17499533	0.2771716	Periplasmic	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10000813.49_31
#242	Cytoplasmic	Extracellular	Cytoplasmic	Periplasmic	Cytoplasmic	:	0.8960722	0.5911345	1.17456	0.2264241	2.1118076	Cytoplasmic	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10000813.49_34
#243	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.5549427	0.62206081	1.5648244	0.9583516	1.2998211	Periplasmic	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10000813.49_36
#244	Periplasmic	Extracellular	Periplasmic	Extracellular	Periplasmic	:	1.3620952	0.56699753	2.347783	0.18339306	0.5397307	Periplasmic	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10005713.64_8
#245	Periplasmic	Extracellular	Extracellular	Extracellular	Extracellular	:	3.140999	0.39933451	0.9897579	0.19187674	0.27803178	Extracellular	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10005713.64_9
#246	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.6084042	0.11466814	3.080814	0.32273393	0.87337933	Periplasmic	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10005713.64_11
#247	Cytoplasmic	InnerMembrane	Periplasmic	InnerMembrane	Periplasmic	:	0.07872642	0.33973506	1.680516	1.3493139	1.5517085	Periplasmic	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10000441.122_39
#248	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.7412936	0.500225	2.631412	0.560409	0.56665965	Periplasmic	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10001838.159_21
#249	Cytoplasmic	Periplasmic	Extracellular	OuterMembrane	Periplasmic	:	1.270612	0.95253514	1.7119647	0.11271887	0.95216836	Periplasmic	2582580702___TH6286DRAFT_TBhypo_metabat_6286_10000393.174_36
#250	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.6164645	0.94534031	3.3578659	0.06090449	0.019423433	Periplasmic	2582580621___TE2094DRAFT_TBepi_metabat_2094_1000391.1_21
#251	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.4819724	0.2969115	3.424726	0.13616923	0.6602213	Periplasmic	2582580616___TE1301DRAFT_TBepi_metabat_1301_1000251.76_4
#252	Periplasmic	InnerMembrane	Periplasmic	OuterMembrane	Periplasmic	:	0.17917341	0.56238502	2.778365	0.8138043	0.6662721	Periplasmic	2582580616___TE1301DRAFT_TBepi_metabat_1301_1000051.79_18
#253	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.072808123	0.050604408	3.900668	0.80814437	0.1677761	Periplasmic	2582580616___TE1301DRAFT_TBepi_metabat_1301_1000051.79_56
#254	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.2215371	0.138410546	4.359401	0.1844879119	0.096164627	Periplasmic	2582580674___TH3415DRAFT_TBhypo_metabat_3415_10000126.8_59
#255	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.14500359	0.292321294	4.254563	0.08549304	0.22261718	Periplasmic	2582580674___TH3415DRAFT_TBhypo_metabat_3415_10000206.20_67
#256	Periplasmic	Cytoplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.1899964	0.06803834	2.74574	0.46783968	1.528385	Periplasmic	2582580674___TH3415DRAFT_TBhypo_metabat_3415_10000414.27_11
#257	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	1.2375447	0.032860741	3.6677146	0.017602254	0.044278647	Periplasmic	2582580674___TH3415DRAFT_TBhypo_metabat_3415_10005289.32_6
#258	Extracellular	Extracellular	Extracellular	OuterMembrane	Periplasmic	:	2.685328	1.03494626	0.9401806	0.27163976	0.067904632	Extracellular	EnrHum_bin_6___c_000000000084_36
#259	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.8838209	0.086733847	3.851404	0.039791793	0.13824894	Periplasmic	EnrHum_bin_6___c_000000000419_3
#260	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.50391141	0.15438383	4.084923	0.04184219	0.2149392	Periplasmic	2582580638___TE4605DRAFT_TBepi_metabat_4605_1001118.7_18
#261	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.50391141	0.15438383	4.084923	0.04184219	0.2149392	Periplasmic	2582580638___TE4605DRAFT_TBepi_metabat_4605_1000927.178_20
